base_case_id,task,n_levels,spearman_strength_to_similarity,spearman_strength_to_corrected_drift,spearman_strength_to_abs_correctness_change,spearman_similarity_to_abs_correctness_change
rq2_dose_math_12,math_reasoning,5,-0.3,-0.35355339059327373,0.28867513459481287,-0.28867513459481287
rq2_dose_math_13,math_reasoning,5,-0.2,0.7,0.8944271909999159,0.22360679774997896
rq2_dose_math_14,math_reasoning,5,-0.7,0.9,-0.11180339887498948,0.33541019662496846
rq2_dose_math_15,math_reasoning,5,-0.7,0.872081599272381,0.7905694150420948,-0.15811388300841897
rq2_dose_math_16,math_reasoning,5,-0.9,0.35909242322980395,,
rq2_dose_math_17,math_reasoning,5,-0.5,1.0,,
rq2_dose_math_18,math_reasoning,5,-0.6,-0.20519567041703082,0.6708203932499369,-0.4472135954999579
rq2_dose_math_19,math_reasoning,5,-0.9,0.5,0.21081851067789195,-0.05270462766947299
rq2_dose_math_20,math_reasoning,5,-0.3,,0.15811388300841897,0.0
rq2_dose_math_21,math_reasoning,5,0.0,,0.0,-0.5773502691896257
rq2_dose_math_22,math_reasoning,5,-0.3,0.11180339887498948,,
rq2_dose_math_23,math_reasoning,5,-0.1,,0.4472135954999579,-0.4472135954999579
rq2_dose_math_24,math_reasoning,5,-1.0,1.0,0.31622776601683794,-0.31622776601683794
rq2_dose_math_25,math_reasoning,5,-0.1,0.0,0.0,-0.28867513459481287
rq2_dose_squad_01,factual_qa,5,-0.26352313834736496,,,
rq2_dose_squad_02,factual_qa,5,-0.1,,,
rq2_dose_squad_03,factual_qa,5,-0.4472135954999579,,,
rq2_dose_squad_04,factual_qa,5,-0.8944271909999159,0.7071067811865475,,
rq2_dose_squad_05,factual_qa,5,-0.11180339887498948,,,
rq2_dose_squad_06,factual_qa,5,-0.4472135954999579,0.0,,
rq2_dose_squad_07,factual_qa,5,-0.35355339059327373,,,
rq2_dose_squad_08,factual_qa,5,-0.7,,,
rq2_dose_squad_09,factual_qa,5,-0.9486832980505138,0.9486832980505138,,
rq2_dose_squad_10,factual_qa,5,-0.28867513459481287,0.28867513459481287,,
rq2_dose_squad_11,factual_qa,5,0.35355339059327373,,,
rq2_dose_squad_12,factual_qa,5,-0.9,0.4472135954999579,,
rq2_dose_squad_13,factual_qa,5,-0.6668859288553503,0.4472135954999579,,
rq2_dose_squad_14,factual_qa,5,-0.1,-0.35355339059327373,,
rq2_dose_squad_15,factual_qa,5,-1.0,1.0,,
rq2_dose_squad_16,factual_qa,5,-0.6,0.872081599272381,,
rq2_dose_squad_17,factual_qa,5,-1.0,0.9746794344808964,,
rq2_dose_squad_18,factual_qa,5,-0.35909242322980395,0.9486832980505138,,
rq2_dose_squad_19,factual_qa,5,0.35355339059327373,-0.35355339059327373,,
rq2_dose_squad_20,factual_qa,5,-0.7071067811865475,,,
rq2_dose_squad_21,factual_qa,5,-0.7,0.6668859288553503,,
rq2_dose_squad_22,factual_qa,5,0.35355339059327373,,,
rq2_dose_squad_23,factual_qa,5,-0.5773502691896257,0.5773502691896257,,
rq2_dose_squad_24,factual_qa,5,-0.9486832980505138,0.9486832980505138,,
rq2_dose_squad_25,factual_qa,5,-0.8,0.872081599272381,0.7905694150420948,-0.9486832980505138
