item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,uncorrected_drift,noise_corrected_drift,similarity_metric,problem_content_recall,problem_content_jaccard,prompt_content_recall,math_token_recall,number_recall,problem_length_delta_tokens,original_mean_output_length_tokens,original_answer_token_f1,original_answer_containment,paraphrase_mean_output_length_tokens,paraphrase_answer_token_f1,paraphrase_answer_containment,output_length_delta_tokens,answer_token_f1_delta,answer_containment_delta
math_reasoning_467,math_reasoning,paraphrasing,5,5,0.950557,0.890176,0.109824,0.06038,sentence-transformers/all-MiniLM-L6-v2,0.6666666666666666,0.2857142857142857,0.8888888888888888,0.7,1.0,7,90.6,0.02205851526269129,1.0,97.0,0.02083723166580804,1.0,6.400000000000006,-0.0012212835968832512,0.0
math_reasoning_4807,math_reasoning,paraphrasing,5,5,0.942495,0.925249,0.074751,0.017246,sentence-transformers/all-MiniLM-L6-v2,0.6842105263157895,0.38235294117647056,0.76,1.0,1.0,22,282.4,0.007160260917018328,1.0,280.2,0.007328949264584045,1.0,-2.1999999999999886,0.00016868834756571683,0.0
math_reasoning_4880,math_reasoning,paraphrasing,5,5,0.804758,0.858535,0.141465,-0.053777,sentence-transformers/all-MiniLM-L6-v2,0.85,0.6071428571428571,0.8846153846153846,1.0,1.0,9,430.4,0.008480484268697967,0.0,426.0,0.007473356960233017,0.0,-4.399999999999977,-0.0010071273084649498,0.0
math_reasoning_4896,math_reasoning,paraphrasing,5,5,0.924672,0.939533,0.060467,-0.01486,sentence-transformers/all-MiniLM-L6-v2,0.8461538461538461,0.5,0.8947368421052632,1.0,1.0,8,185.8,0.010741424201825122,1.0,189.6,0.01055065273270152,1.0,3.799999999999983,-0.00019077146912360211,0.0
math_reasoning_4965,math_reasoning,paraphrasing,5,5,0.969847,0.972612,0.027388,-0.002765,sentence-transformers/all-MiniLM-L6-v2,0.75,0.631578947368421,0.8571428571428571,1.0,1.0,2,196.6,0.020333842672288736,1.0,209.0,0.01903219578709222,1.0,12.400000000000006,-0.0013016468851965168,0.0
math_reasoning_5038,math_reasoning,paraphrasing,5,5,0.891711,0.893783,0.106217,-0.002071,sentence-transformers/all-MiniLM-L6-v2,0.3888888888888889,0.22580645161290322,0.5652173913043478,0.75,0.5,8,380.6,0.005274125675060802,1.0,363.8,0.0055730185750282255,1.0,-16.80000000000001,0.00029889289996742376,0.0
math_reasoning_5201,math_reasoning,paraphrasing,5,5,0.777848,0.802071,0.197929,-0.024223,sentence-transformers/all-MiniLM-L6-v2,0.8095238095238095,0.4358974358974359,0.8518518518518519,1.0,1.0,23,308.4,0.0,0.0,226.8,0.0,0.0,-81.59999999999997,0.0,0.0
math_reasoning_5281,math_reasoning,paraphrasing,5,5,0.925053,0.921502,0.078498,0.003552,sentence-transformers/all-MiniLM-L6-v2,0.42857142857142855,0.23076923076923078,0.6923076923076923,,,3,186.8,0.010718754543742968,1.0,179.4,0.01114642469433729,1.0,-7.400000000000006,0.0004276701505943215,0.0
math_reasoning_5408,math_reasoning,paraphrasing,5,5,0.927835,0.921959,0.078041,0.005876,sentence-transformers/all-MiniLM-L6-v2,0.8571428571428571,0.6923076923076923,0.8888888888888888,1.0,1.0,6,266.8,0.015179371019457277,1.0,228.8,0.017446039333460384,1.0,-38.0,0.0022666683140031077,0.0
math_reasoning_5497,math_reasoning,paraphrasing,5,5,0.975175,0.971175,0.028825,0.004,sentence-transformers/all-MiniLM-L6-v2,0.8,0.42105263157894735,0.875,1.0,1.0,7,161.8,0.012300207246444355,1.0,148.6,0.013518588701628944,1.0,-13.200000000000017,0.001218381455184589,0.0
math_reasoning_5594,math_reasoning,paraphrasing,5,5,0.960228,0.956401,0.043599,0.003827,sentence-transformers/all-MiniLM-L6-v2,0.7142857142857143,0.35714285714285715,0.8461538461538461,1.0,1.0,10,54.4,0.03618333524820959,1.0,68.8,0.02894765768842722,1.0,14.399999999999999,-0.007235677559782369,0.0
math_reasoning_5912,math_reasoning,paraphrasing,5,5,0.993306,0.811502,0.188498,0.181804,sentence-transformers/all-MiniLM-L6-v2,0.5,0.125,0.875,0.25,1.0,11,24.8,0.151828631138976,1.0,13.6,0.26163901458019106,1.0,-11.200000000000001,0.10981038344121508,0.0
math_reasoning_6164,math_reasoning,paraphrasing,5,5,0.956894,0.873685,0.126315,0.083209,sentence-transformers/all-MiniLM-L6-v2,0.7777777777777778,0.3684210526315789,0.8333333333333334,1.0,,30,231.4,0.0,0.0,377.8,0.003121853707292695,0.6,146.4,0.003121853707292695,0.6
math_reasoning_6746,math_reasoning,paraphrasing,5,5,0.944035,0.947507,0.052493,-0.003472,sentence-transformers/all-MiniLM-L6-v2,0.8333333333333334,0.5263157894736842,0.8888888888888888,1.0,1.0,15,364.2,0.016429855846358914,0.8,369.6,0.016333702739700424,1.0,5.400000000000034,-9.61531066584892e-05,0.19999999999999996
math_reasoning_6807,math_reasoning,paraphrasing,5,5,0.939902,0.862089,0.137911,0.077813,sentence-transformers/all-MiniLM-L6-v2,1.0,0.4166666666666667,1.0,0.2857142857142857,1.0,16,103.8,0.01937082221131433,1.0,100.8,0.01974844782129261,1.0,-3.0,0.0003776256099782792,0.0
math_reasoning_7372,math_reasoning,paraphrasing,5,5,0.966761,0.969295,0.030705,-0.002534,sentence-transformers/all-MiniLM-L6-v2,0.75,0.391304347826087,0.8823529411764706,1.0,1.0,13,241.2,0.01654007677649075,1.0,239.6,0.01679437553235561,1.0,-1.5999999999999943,0.0002542987558648603,0.0
math_reasoning_7390,math_reasoning,paraphrasing,5,5,0.944244,0.95607,0.04393,-0.011826,sentence-transformers/all-MiniLM-L6-v2,1.0,0.5,1.0,1.0,1.0,10,240.0,0.016557826751294615,0.0,238.8,0.016644301693926368,0.0,-1.1999999999999886,8.647494263175348e-05,0.0
math_reasoning_7546,math_reasoning,paraphrasing,5,5,0.88812,0.819589,0.180411,0.06853,sentence-transformers/all-MiniLM-L6-v2,0.7333333333333333,0.44,0.8095238095238095,1.0,1.0,13,244.4,0.016452457196420158,1.0,225.2,0.017769562087743905,1.0,-19.200000000000017,0.001317104891323747,0.0
math_reasoning_8004,math_reasoning,paraphrasing,5,5,0.963503,0.950628,0.049372,0.012875,sentence-transformers/all-MiniLM-L6-v2,0.7692307692307693,0.47619047619047616,0.8421052631578947,1.0,1.0,9,175.2,0.022712592271718565,1.0,182.6,0.02202012240545915,1.0,7.400000000000006,-0.000692469866259416,0.0
math_reasoning_9083,math_reasoning,paraphrasing,5,5,0.974112,0.968291,0.031709,0.005821,sentence-transformers/all-MiniLM-L6-v2,1.0,0.6,1.0,1.0,1.0,7,72.4,0.05405748520296264,1.0,72.0,0.05441223379303876,1.0,-0.4000000000000057,0.0003547485900761149,0.0
math_reasoning_9403,math_reasoning,paraphrasing,5,5,0.967311,0.95755,0.04245,0.009761,sentence-transformers/all-MiniLM-L6-v2,0.8888888888888888,0.5333333333333333,0.9333333333333333,1.0,1.0,2,95.6,0.020763965570655348,1.0,105.4,0.018886523341983413,1.0,9.800000000000011,-0.0018774422286719356,0.0
math_reasoning_9599,math_reasoning,paraphrasing,5,5,0.832183,0.865434,0.134566,-0.033251,sentence-transformers/all-MiniLM-L6-v2,0.8076923076923077,0.5,0.84375,1.0,1.0,30,418.0,0.0,0.0,478.6,0.0,0.0,60.60000000000002,0.0,0.0
math_reasoning_9765,math_reasoning,paraphrasing,5,5,0.90175,0.871923,0.128077,0.029826,sentence-transformers/all-MiniLM-L6-v2,0.6666666666666666,0.4,0.8333333333333334,1.0,1.0,4,144.2,0.0275925372751193,1.0,130.2,0.031031058746577984,1.0,-14.0,0.0034385214714586845,0.0
