group1,group2,meandiff,p-adj,lower,upper,reject
math_reasoning / context_injection,math_reasoning / formatting,0.1,0.9999,-0.3014,0.5014,False
math_reasoning / context_injection,math_reasoning / paraphrase,0.1,0.9999,-0.3014,0.5014,False
math_reasoning / context_injection,math_reasoning / reordering,0.1,0.9999,-0.3014,0.5014,False
math_reasoning / context_injection,math_reasoning / surface_noise,0.1667,0.9826,-0.2348,0.5681,False
math_reasoning / formatting,math_reasoning / paraphrase,0.0,1.0,-0.4014,0.4014,False
math_reasoning / formatting,math_reasoning / reordering,0.0,1.0,-0.4014,0.4014,False
math_reasoning / formatting,math_reasoning / surface_noise,0.0667,1.0,-0.3348,0.4681,False
math_reasoning / paraphrase,math_reasoning / reordering,0.0,1.0,-0.4014,0.4014,False
math_reasoning / paraphrase,math_reasoning / surface_noise,0.0667,1.0,-0.3348,0.4681,False
math_reasoning / reordering,math_reasoning / surface_noise,0.0667,1.0,-0.3348,0.4681,False
