group1,group2,meandiff,p-adj,lower,upper,reject
math_reasoning / context_injection,math_reasoning / formatting,-0.2,0.9909,-0.7168,0.3168,False
math_reasoning / context_injection,math_reasoning / paraphrase,0.1,1.0,-0.4168,0.6168,False
math_reasoning / context_injection,math_reasoning / reordering,0.0,1.0,-0.5168,0.5168,False
math_reasoning / context_injection,math_reasoning / surface_noise,-0.1,1.0,-0.6168,0.4168,False
math_reasoning / formatting,math_reasoning / paraphrase,0.3,0.7914,-0.2168,0.8168,False
math_reasoning / formatting,math_reasoning / reordering,0.2,0.9909,-0.3168,0.7168,False
math_reasoning / formatting,math_reasoning / surface_noise,0.1,1.0,-0.4168,0.6168,False
math_reasoning / paraphrase,math_reasoning / reordering,-0.1,1.0,-0.6168,0.4168,False
math_reasoning / paraphrase,math_reasoning / surface_noise,-0.2,0.9909,-0.7168,0.3168,False
math_reasoning / reordering,math_reasoning / surface_noise,-0.1,1.0,-0.6168,0.4168,False
