group1,group2,meandiff,p-adj,lower,upper,reject
code_generation / reordering,factual_qa / surface_noise,0.0,1.0,-0.3968,0.3968,False
code_generation / reordering,math_reasoning / context_injection,0.1,0.9999,-0.2968,0.4968,False
code_generation / reordering,math_reasoning / formatting,0.2,0.9159,-0.1968,0.5968,False
code_generation / reordering,math_reasoning / paraphrase,0.2,0.9159,-0.1968,0.5968,False
code_generation / reordering,math_reasoning / reordering,0.2,0.9159,-0.1968,0.5968,False
code_generation / reordering,math_reasoning / surface_noise,0.2667,0.576,-0.1301,0.6634,False
code_generation / surface_noise,factual_qa / context_injection,-0.1,0.9999,-0.4968,0.2968,False
code_generation / surface_noise,factual_qa / formatting,-0.1,0.9999,-0.4968,0.2968,False
code_generation / surface_noise,factual_qa / paraphrase,0.0,1.0,-0.3968,0.3968,False
code_generation / surface_noise,factual_qa / reordering,-0.1,0.9999,-0.4968,0.2968,False
code_generation / surface_noise,factual_qa / surface_noise,-0.0667,1.0,-0.4634,0.3301,False
code_generation / surface_noise,math_reasoning / context_injection,0.0333,1.0,-0.3634,0.4301,False
code_generation / surface_noise,math_reasoning / formatting,0.1333,0.9978,-0.2634,0.5301,False
code_generation / surface_noise,math_reasoning / paraphrase,0.1333,0.9978,-0.2634,0.5301,False
code_generation / surface_noise,math_reasoning / reordering,0.1333,0.9978,-0.2634,0.5301,False
code_generation / surface_noise,math_reasoning / surface_noise,0.2,0.9159,-0.1968,0.5968,False
factual_qa / context_injection,factual_qa / formatting,0.0,1.0,-0.3968,0.3968,False
factual_qa / context_injection,factual_qa / paraphrase,0.1,0.9999,-0.2968,0.4968,False
factual_qa / context_injection,factual_qa / reordering,0.0,1.0,-0.3968,0.3968,False
factual_qa / context_injection,factual_qa / surface_noise,0.0333,1.0,-0.3634,0.4301,False
factual_qa / context_injection,math_reasoning / context_injection,0.1333,0.9978,-0.2634,0.5301,False
factual_qa / context_injection,math_reasoning / formatting,0.2333,0.7756,-0.1634,0.6301,False
factual_qa / context_injection,math_reasoning / paraphrase,0.2333,0.7756,-0.1634,0.6301,False
factual_qa / context_injection,math_reasoning / reordering,0.2333,0.7756,-0.1634,0.6301,False
factual_qa / context_injection,math_reasoning / surface_noise,0.3,0.3712,-0.0968,0.6968,False
factual_qa / formatting,factual_qa / paraphrase,0.1,0.9999,-0.2968,0.4968,False
factual_qa / formatting,factual_qa / reordering,0.0,1.0,-0.3968,0.3968,False
factual_qa / formatting,factual_qa / surface_noise,0.0333,1.0,-0.3634,0.4301,False
factual_qa / formatting,math_reasoning / context_injection,0.1333,0.9978,-0.2634,0.5301,False
factual_qa / formatting,math_reasoning / formatting,0.2333,0.7756,-0.1634,0.6301,False
factual_qa / formatting,math_reasoning / paraphrase,0.2333,0.7756,-0.1634,0.6301,False
factual_qa / formatting,math_reasoning / reordering,0.2333,0.7756,-0.1634,0.6301,False
factual_qa / formatting,math_reasoning / surface_noise,0.3,0.3712,-0.0968,0.6968,False
factual_qa / paraphrase,factual_qa / reordering,-0.1,0.9999,-0.4968,0.2968,False
factual_qa / paraphrase,factual_qa / surface_noise,-0.0667,1.0,-0.4634,0.3301,False
factual_qa / paraphrase,math_reasoning / context_injection,0.0333,1.0,-0.3634,0.4301,False
factual_qa / paraphrase,math_reasoning / formatting,0.1333,0.9978,-0.2634,0.5301,False
factual_qa / paraphrase,math_reasoning / paraphrase,0.1333,0.9978,-0.2634,0.5301,False
factual_qa / paraphrase,math_reasoning / reordering,0.1333,0.9978,-0.2634,0.5301,False
factual_qa / paraphrase,math_reasoning / surface_noise,0.2,0.9159,-0.1968,0.5968,False
factual_qa / reordering,factual_qa / surface_noise,0.0333,1.0,-0.3634,0.4301,False
factual_qa / reordering,math_reasoning / context_injection,0.1333,0.9978,-0.2634,0.5301,False
factual_qa / reordering,math_reasoning / formatting,0.2333,0.7756,-0.1634,0.6301,False
factual_qa / reordering,math_reasoning / paraphrase,0.2333,0.7756,-0.1634,0.6301,False
factual_qa / reordering,math_reasoning / reordering,0.2333,0.7756,-0.1634,0.6301,False
factual_qa / reordering,math_reasoning / surface_noise,0.3,0.3712,-0.0968,0.6968,False
factual_qa / surface_noise,math_reasoning / context_injection,0.1,0.9999,-0.2968,0.4968,False
factual_qa / surface_noise,math_reasoning / formatting,0.2,0.9159,-0.1968,0.5968,False
factual_qa / surface_noise,math_reasoning / paraphrase,0.2,0.9159,-0.1968,0.5968,False
factual_qa / surface_noise,math_reasoning / reordering,0.2,0.9159,-0.1968,0.5968,False
factual_qa / surface_noise,math_reasoning / surface_noise,0.2667,0.576,-0.1301,0.6634,False
math_reasoning / context_injection,math_reasoning / formatting,0.1,0.9999,-0.2968,0.4968,False
math_reasoning / context_injection,math_reasoning / paraphrase,0.1,0.9999,-0.2968,0.4968,False
math_reasoning / context_injection,math_reasoning / reordering,0.1,0.9999,-0.2968,0.4968,False
math_reasoning / context_injection,math_reasoning / surface_noise,0.1667,0.9807,-0.2301,0.5634,False
math_reasoning / formatting,math_reasoning / paraphrase,0.0,1.0,-0.3968,0.3968,False
math_reasoning / formatting,math_reasoning / reordering,0.0,1.0,-0.3968,0.3968,False
math_reasoning / formatting,math_reasoning / surface_noise,0.0667,1.0,-0.3301,0.4634,False
math_reasoning / paraphrase,math_reasoning / reordering,0.0,1.0,-0.3968,0.3968,False
math_reasoning / paraphrase,math_reasoning / surface_noise,0.0667,1.0,-0.3301,0.4634,False
math_reasoning / reordering,math_reasoning / surface_noise,0.0667,1.0,-0.3301,0.4634,False
