group1,group2,meandiff,p-adj,lower,upper,reject
factual_qa / context_injection,factual_qa / paraphrase,0.0338,1.0,-0.1125,0.1801,False
factual_qa / context_injection,factual_qa / reordering,0.0,1.0,-0.1463,0.1463,False
factual_qa / context_injection,factual_qa / surface_noise,-0.0,1.0,-0.1463,0.1463,False
factual_qa / context_injection,math_reasoning / context_injection,0.0018,1.0,-0.1445,0.1481,False
factual_qa / context_injection,math_reasoning / formatting,0.0011,1.0,-0.1452,0.1474,False
factual_qa / context_injection,math_reasoning / paraphrase,0.0121,1.0,-0.1342,0.1585,False
factual_qa / context_injection,math_reasoning / reordering,0.0032,1.0,-0.1432,0.1495,False
factual_qa / context_injection,math_reasoning / surface_noise,0.0007,1.0,-0.1457,0.147,False
factual_qa / context_injection,open_ended_writing / context_injection,0.0161,1.0,-0.1302,0.1624,False
factual_qa / context_injection,open_ended_writing / formatting,0.0543,0.9979,-0.092,0.2006,False
factual_qa / context_injection,open_ended_writing / paraphrase,0.0066,1.0,-0.1397,0.1529,False
factual_qa / context_injection,open_ended_writing / reordering,0.0066,1.0,-0.1398,0.1529,False
factual_qa / context_injection,open_ended_writing / surface_noise,0.1016,0.5541,-0.0447,0.2479,False
factual_qa / formatting,factual_qa / paraphrase,0.0338,1.0,-0.1125,0.1801,False
factual_qa / formatting,factual_qa / reordering,0.0,1.0,-0.1463,0.1463,False
factual_qa / formatting,factual_qa / surface_noise,0.0,1.0,-0.1463,0.1463,False
factual_qa / formatting,math_reasoning / context_injection,0.0018,1.0,-0.1445,0.1481,False
factual_qa / formatting,math_reasoning / formatting,0.0011,1.0,-0.1452,0.1474,False
factual_qa / formatting,math_reasoning / paraphrase,0.0121,1.0,-0.1342,0.1585,False
factual_qa / formatting,math_reasoning / reordering,0.0032,1.0,-0.1432,0.1495,False
factual_qa / formatting,math_reasoning / surface_noise,0.0007,1.0,-0.1457,0.147,False
factual_qa / formatting,open_ended_writing / context_injection,0.0161,1.0,-0.1302,0.1624,False
factual_qa / formatting,open_ended_writing / formatting,0.0543,0.9979,-0.092,0.2006,False
factual_qa / formatting,open_ended_writing / paraphrase,0.0066,1.0,-0.1397,0.1529,False
factual_qa / formatting,open_ended_writing / reordering,0.0066,1.0,-0.1397,0.1529,False
factual_qa / formatting,open_ended_writing / surface_noise,0.1016,0.554,-0.0447,0.2479,False
factual_qa / paraphrase,factual_qa / reordering,-0.0338,1.0,-0.1801,0.1125,False
factual_qa / paraphrase,factual_qa / surface_noise,-0.0338,1.0,-0.1801,0.1125,False
factual_qa / paraphrase,math_reasoning / context_injection,-0.032,1.0,-0.1783,0.1143,False
factual_qa / paraphrase,math_reasoning / formatting,-0.0327,1.0,-0.179,0.1136,False
factual_qa / paraphrase,math_reasoning / paraphrase,-0.0217,1.0,-0.168,0.1247,False
factual_qa / paraphrase,math_reasoning / reordering,-0.0306,1.0,-0.1769,0.1157,False
factual_qa / paraphrase,math_reasoning / surface_noise,-0.0331,1.0,-0.1795,0.1132,False
factual_qa / paraphrase,open_ended_writing / context_injection,-0.0177,1.0,-0.164,0.1287,False
factual_qa / paraphrase,open_ended_writing / formatting,0.0205,1.0,-0.1258,0.1668,False
factual_qa / paraphrase,open_ended_writing / paraphrase,-0.0272,1.0,-0.1735,0.1191,False
factual_qa / paraphrase,open_ended_writing / reordering,-0.0272,1.0,-0.1735,0.1191,False
factual_qa / paraphrase,open_ended_writing / surface_noise,0.0678,0.9745,-0.0785,0.2141,False
factual_qa / reordering,factual_qa / surface_noise,-0.0,1.0,-0.1463,0.1463,False
factual_qa / reordering,math_reasoning / context_injection,0.0018,1.0,-0.1445,0.1481,False
factual_qa / reordering,math_reasoning / formatting,0.0011,1.0,-0.1452,0.1474,False
factual_qa / reordering,math_reasoning / paraphrase,0.0121,1.0,-0.1342,0.1585,False
factual_qa / reordering,math_reasoning / reordering,0.0032,1.0,-0.1432,0.1495,False
factual_qa / reordering,math_reasoning / surface_noise,0.0007,1.0,-0.1457,0.147,False
factual_qa / reordering,open_ended_writing / context_injection,0.0161,1.0,-0.1302,0.1624,False
factual_qa / reordering,open_ended_writing / formatting,0.0543,0.9979,-0.092,0.2006,False
factual_qa / reordering,open_ended_writing / paraphrase,0.0066,1.0,-0.1397,0.1529,False
factual_qa / reordering,open_ended_writing / reordering,0.0066,1.0,-0.1398,0.1529,False
factual_qa / reordering,open_ended_writing / surface_noise,0.1016,0.5541,-0.0447,0.2479,False
factual_qa / surface_noise,math_reasoning / context_injection,0.0018,1.0,-0.1445,0.1481,False
factual_qa / surface_noise,math_reasoning / formatting,0.0011,1.0,-0.1452,0.1474,False
factual_qa / surface_noise,math_reasoning / paraphrase,0.0121,1.0,-0.1342,0.1585,False
factual_qa / surface_noise,math_reasoning / reordering,0.0032,1.0,-0.1432,0.1495,False
factual_qa / surface_noise,math_reasoning / surface_noise,0.0007,1.0,-0.1457,0.147,False
factual_qa / surface_noise,open_ended_writing / context_injection,0.0161,1.0,-0.1302,0.1624,False
factual_qa / surface_noise,open_ended_writing / formatting,0.0543,0.9979,-0.092,0.2006,False
factual_qa / surface_noise,open_ended_writing / paraphrase,0.0066,1.0,-0.1397,0.1529,False
factual_qa / surface_noise,open_ended_writing / reordering,0.0066,1.0,-0.1397,0.1529,False
factual_qa / surface_noise,open_ended_writing / surface_noise,0.1016,0.554,-0.0447,0.2479,False
math_reasoning / context_injection,math_reasoning / formatting,-0.0007,1.0,-0.147,0.1456,False
math_reasoning / context_injection,math_reasoning / paraphrase,0.0103,1.0,-0.136,0.1566,False
math_reasoning / context_injection,math_reasoning / reordering,0.0014,1.0,-0.145,0.1477,False
math_reasoning / context_injection,math_reasoning / surface_noise,-0.0012,1.0,-0.1475,0.1452,False
math_reasoning / context_injection,open_ended_writing / context_injection,0.0143,1.0,-0.132,0.1606,False
math_reasoning / context_injection,open_ended_writing / formatting,0.0525,0.9987,-0.0938,0.1988,False
math_reasoning / context_injection,open_ended_writing / paraphrase,0.0048,1.0,-0.1415,0.1511,False
math_reasoning / context_injection,open_ended_writing / reordering,0.0048,1.0,-0.1416,0.1511,False
math_reasoning / context_injection,open_ended_writing / surface_noise,0.0998,0.5872,-0.0465,0.2461,False
math_reasoning / formatting,math_reasoning / paraphrase,0.0111,1.0,-0.1353,0.1574,False
math_reasoning / formatting,math_reasoning / reordering,0.0021,1.0,-0.1442,0.1484,False
math_reasoning / formatting,math_reasoning / surface_noise,-0.0004,1.0,-0.1467,0.1459,False
math_reasoning / formatting,open_ended_writing / context_injection,0.015,1.0,-0.1313,0.1614,False
math_reasoning / formatting,open_ended_writing / formatting,0.0532,0.9984,-0.0931,0.1995,False
math_reasoning / formatting,open_ended_writing / paraphrase,0.0055,1.0,-0.1408,0.1518,False
math_reasoning / formatting,open_ended_writing / reordering,0.0055,1.0,-0.1408,0.1518,False
math_reasoning / formatting,open_ended_writing / surface_noise,0.1005,0.5738,-0.0458,0.2469,False
math_reasoning / paraphrase,math_reasoning / reordering,-0.009,1.0,-0.1553,0.1373,False
math_reasoning / paraphrase,math_reasoning / surface_noise,-0.0115,1.0,-0.1578,0.1348,False
math_reasoning / paraphrase,open_ended_writing / context_injection,0.004,1.0,-0.1423,0.1503,False
math_reasoning / paraphrase,open_ended_writing / formatting,0.0421,0.9999,-0.1042,0.1885,False
math_reasoning / paraphrase,open_ended_writing / paraphrase,-0.0055,1.0,-0.1519,0.1408,False
math_reasoning / paraphrase,open_ended_writing / reordering,-0.0056,1.0,-0.1519,0.1407,False
math_reasoning / paraphrase,open_ended_writing / surface_noise,0.0895,0.7663,-0.0568,0.2358,False
math_reasoning / reordering,math_reasoning / surface_noise,-0.0025,1.0,-0.1488,0.1438,False
math_reasoning / reordering,open_ended_writing / context_injection,0.013,1.0,-0.1334,0.1593,False
math_reasoning / reordering,open_ended_writing / formatting,0.0511,0.999,-0.0952,0.1974,False
math_reasoning / reordering,open_ended_writing / paraphrase,0.0034,1.0,-0.1429,0.1498,False
math_reasoning / reordering,open_ended_writing / reordering,0.0034,1.0,-0.1429,0.1497,False
math_reasoning / reordering,open_ended_writing / surface_noise,0.0985,0.6119,-0.0479,0.2448,False
math_reasoning / surface_noise,open_ended_writing / context_injection,0.0155,1.0,-0.1309,0.1618,False
math_reasoning / surface_noise,open_ended_writing / formatting,0.0536,0.9982,-0.0927,0.1999,False
math_reasoning / surface_noise,open_ended_writing / paraphrase,0.0059,1.0,-0.1404,0.1523,False
math_reasoning / surface_noise,open_ended_writing / reordering,0.0059,1.0,-0.1404,0.1522,False
math_reasoning / surface_noise,open_ended_writing / surface_noise,0.101,0.5661,-0.0454,0.2473,False
open_ended_writing / context_injection,open_ended_writing / formatting,0.0382,1.0,-0.1082,0.1845,False
open_ended_writing / context_injection,open_ended_writing / paraphrase,-0.0095,1.0,-0.1558,0.1368,False
open_ended_writing / context_injection,open_ended_writing / reordering,-0.0096,1.0,-0.1559,0.1368,False
open_ended_writing / context_injection,open_ended_writing / surface_noise,0.0855,0.8249,-0.0608,0.2318,False
open_ended_writing / formatting,open_ended_writing / paraphrase,-0.0477,0.9996,-0.194,0.0986,False
open_ended_writing / formatting,open_ended_writing / reordering,-0.0477,0.9996,-0.194,0.0986,False
open_ended_writing / formatting,open_ended_writing / surface_noise,0.0473,0.9997,-0.099,0.1937,False
open_ended_writing / paraphrase,open_ended_writing / reordering,-0.0,1.0,-0.1464,0.1463,False
open_ended_writing / paraphrase,open_ended_writing / surface_noise,0.095,0.6737,-0.0513,0.2413,False
open_ended_writing / reordering,open_ended_writing / surface_noise,0.095,0.6731,-0.0513,0.2414,False
