item_id,perturbation_type,problem_content_recall,problem_content_jaccard,prompt_content_recall,math_token_recall,number_recall,problem_length_delta_tokens
math_reasoning_10926,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_10926,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_10926,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_10926,surface_noise,0.9230769230769231,0.8571428571428571,0.9473684210526315,1.0,1.0,0
math_reasoning_4807,paraphrasing,0.6842105263157895,0.38235294117647056,0.76,1.0,1.0,22
math_reasoning_4807,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4807,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4807,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4807,surface_noise,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2873,paraphrasing,0.5833333333333334,0.3684210526315789,0.7222222222222222,0.3,0.375,9
math_reasoning_2873,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2873,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2873,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2873,surface_noise,1.0,0.6666666666666666,0.9444444444444444,1.0,1.0,9
math_reasoning_10051,paraphrasing,0.8928571428571429,0.8064516129032258,0.9117647058823529,1.0,1.0,-4
math_reasoning_10051,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_10051,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_10051,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_10051,surface_noise,0.9642857142857143,0.9310344827586207,0.9705882352941176,1.0,1.0,0
math_reasoning_3402,paraphrasing,0.75,0.5142857142857142,0.8,1.0,1.0,11
math_reasoning_3402,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3402,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3402,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3402,surface_noise,0.9583333333333334,0.92,0.9666666666666667,1.0,1.0,0
math_reasoning_1600,paraphrasing,0.9230769230769231,0.8372093023255814,0.9333333333333333,1.0,1.0,3
math_reasoning_1600,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_1600,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_1600,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_1600,surface_noise,1.0,0.975,1.0,1.0,1.0,0
math_reasoning_10586,paraphrasing,0.7,0.5384615384615384,0.7391304347826086,1.0,1.0,-2
math_reasoning_10586,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_10586,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_10586,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_10586,surface_noise,1.0,0.975609756097561,1.0,1.0,1.0,0
math_reasoning_338,paraphrasing,0.8666666666666667,0.8,0.8787878787878788,1.0,1.0,-10
math_reasoning_338,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_338,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_338,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_338,surface_noise,0.9833333333333333,0.9672131147540983,0.9848484848484849,1.0,1.0,0
math_reasoning_1650,paraphrasing,0.7692307692307693,0.5263157894736842,0.8421052631578947,1.0,1.0,6
math_reasoning_1650,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_1650,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_1650,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_1650,surface_noise,1.0,0.9285714285714286,1.0,1.0,1.0,1
math_reasoning_467,paraphrasing,0.6666666666666666,0.2857142857142857,0.8888888888888888,0.7,1.0,7
math_reasoning_467,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_467,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_467,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_467,surface_noise,1.0,1.0,0.8888888888888888,1.0,1.0,0
math_reasoning_7390,paraphrasing,1.0,0.5,1.0,1.0,1.0,10
math_reasoning_7390,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_7390,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_7390,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_7390,surface_noise,0.8333333333333334,0.7142857142857143,0.9166666666666666,1.0,1.0,0
math_reasoning_4531,paraphrasing,0.6,0.46875,0.7,1.0,1.0,-12
math_reasoning_4531,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4531,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4531,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4531,surface_noise,1.0,1.0,0.9666666666666667,1.0,1.0,0
math_reasoning_2817,paraphrasing,0.7857142857142857,0.6470588235294118,0.8235294117647058,0.9090909090909091,1.0,2
math_reasoning_2817,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2817,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2817,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2817,surface_noise,1.0,1.0,1.0,0.9090909090909091,1.0,0
math_reasoning_4880,paraphrasing,0.85,0.6071428571428571,0.8846153846153846,1.0,1.0,9
math_reasoning_4880,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4880,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4880,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4880,surface_noise,0.95,0.9047619047619048,0.9615384615384616,1.0,1.0,0
math_reasoning_3374,paraphrasing,0.68,0.4473684210526316,0.7419354838709677,1.0,1.0,8
math_reasoning_3374,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3374,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3374,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3374,surface_noise,1.0,0.8064516129032258,0.967741935483871,1.0,1.0,9
math_reasoning_9599,paraphrasing,0.8076923076923077,0.5,0.84375,1.0,1.0,30
math_reasoning_9599,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_9599,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_9599,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_9599,surface_noise,1.0,0.9629629629629629,1.0,1.0,1.0,0
math_reasoning_5281,paraphrasing,0.42857142857142855,0.23076923076923078,0.6923076923076923,,,3
math_reasoning_5281,reordering,1.0,1.0,1.0,,,0
math_reasoning_5281,formatting_changes,1.0,1.0,1.0,,,0
math_reasoning_5281,context_injection,1.0,1.0,1.0,,,0
math_reasoning_5281,surface_noise,1.0,1.0,0.9230769230769231,,,0
math_reasoning_5408,paraphrasing,0.8571428571428571,0.6923076923076923,0.8888888888888888,1.0,1.0,6
math_reasoning_5408,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5408,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5408,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5408,surface_noise,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2652,paraphrasing,0.8125,0.65,0.8636363636363636,1.0,1.0,2
math_reasoning_2652,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2652,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2652,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2652,surface_noise,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2832,paraphrasing,0.6428571428571429,0.375,0.75,0.8,0.6666666666666666,12
math_reasoning_2832,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2832,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2832,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2832,surface_noise,1.0,0.9333333333333333,1.0,1.0,1.0,1
math_reasoning_5912,paraphrasing,0.5,0.125,0.875,0.25,1.0,11
math_reasoning_5912,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5912,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5912,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5912,surface_noise,1.0,0.25,0.875,1.0,1.0,9
math_reasoning_3251,paraphrasing,0.7,0.3888888888888889,0.8125,1.0,1.0,9
math_reasoning_3251,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3251,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3251,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3251,surface_noise,0.9,0.8181818181818182,0.9375,1.0,1.0,0
math_reasoning_7372,paraphrasing,0.75,0.391304347826087,0.8823529411764706,1.0,1.0,13
math_reasoning_7372,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_7372,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_7372,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_7372,surface_noise,1.0,0.7058823529411765,0.9411764705882353,1.0,1.0,9
math_reasoning_9765,paraphrasing,0.6666666666666666,0.4,0.8333333333333334,1.0,1.0,4
math_reasoning_9765,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_9765,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_9765,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_9765,surface_noise,1.0,1.0,0.9166666666666666,1.0,1.0,0
math_reasoning_3336,paraphrasing,0.8888888888888888,0.8275862068965517,0.9,1.0,1.0,-4
math_reasoning_3336,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3336,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3336,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3336,surface_noise,0.9814814814814815,0.9636363636363636,0.9833333333333333,1.0,1.0,0
math_reasoning_4965,paraphrasing,0.75,0.631578947368421,0.8571428571428571,1.0,1.0,2
math_reasoning_4965,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4965,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4965,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4965,surface_noise,0.9375,0.8823529411764706,1.0,1.0,1.0,0
math_reasoning_9403,paraphrasing,0.8888888888888888,0.5333333333333333,0.9333333333333333,1.0,1.0,2
math_reasoning_9403,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_9403,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_9403,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_9403,surface_noise,1.0,0.9,1.0,1.0,1.0,0
math_reasoning_10521,paraphrasing,0.6923076923076923,0.45,0.7894736842105263,1.0,1.0,15
math_reasoning_10521,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_10521,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_10521,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_10521,surface_noise,0.9230769230769231,0.8571428571428571,0.9473684210526315,1.0,1.0,0
math_reasoning_6164,paraphrasing,0.7777777777777778,0.3684210526315789,0.8333333333333334,1.0,,30
math_reasoning_6164,reordering,1.0,1.0,1.0,1.0,,0
math_reasoning_6164,formatting_changes,1.0,1.0,1.0,1.0,,0
math_reasoning_6164,context_injection,1.0,1.0,1.0,1.0,,0
math_reasoning_6164,surface_noise,1.0,1.0,0.9583333333333334,1.0,,0
math_reasoning_6807,paraphrasing,1.0,0.4166666666666667,1.0,0.2857142857142857,1.0,16
math_reasoning_6807,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_6807,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_6807,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_6807,surface_noise,1.0,1.0,1.0,0.8571428571428571,1.0,0
math_reasoning_1121,paraphrasing,0.5555555555555556,0.40540540540540543,0.6363636363636364,1.0,1.0,-5
math_reasoning_1121,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_1121,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_1121,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_1121,surface_noise,0.9629629629629629,0.9285714285714286,0.9696969696969697,1.0,1.0,0
math_reasoning_4506,paraphrasing,0.5238095238095238,0.44,0.5833333333333334,0.4444444444444444,0.0,-35
math_reasoning_4506,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4506,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4506,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4506,surface_noise,1.0,0.9767441860465116,1.0,1.0,1.0,0
math_reasoning_190,paraphrasing,0.7692307692307693,0.45454545454545453,0.8421052631578947,1.0,1.0,13
math_reasoning_190,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_190,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_190,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_190,surface_noise,1.0,1.0,0.9473684210526315,1.0,1.0,0
math_reasoning_10682,paraphrasing,0.8846153846153846,0.6571428571428571,0.9333333333333333,0.9166666666666666,1.0,12
math_reasoning_10682,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_10682,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_10682,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_10682,surface_noise,1.0,1.0,0.9666666666666667,1.0,1.0,0
math_reasoning_9083,paraphrasing,1.0,0.6,1.0,1.0,1.0,7
math_reasoning_9083,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_9083,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_9083,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_9083,surface_noise,1.0,0.8571428571428571,1.0,1.0,1.0,1
math_reasoning_2166,paraphrasing,0.8095238095238095,0.4857142857142857,0.8518518518518519,1.0,1.0,12
math_reasoning_2166,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2166,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2166,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2166,surface_noise,1.0,1.0,0.9629629629629629,1.0,1.0,0
math_reasoning_5201,paraphrasing,0.8095238095238095,0.4358974358974359,0.8518518518518519,1.0,1.0,23
math_reasoning_5201,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5201,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5201,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5201,surface_noise,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2891,paraphrasing,0.9444444444444444,0.8947368421052632,0.9523809523809523,1.0,1.0,-2
math_reasoning_2891,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2891,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2891,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_2891,surface_noise,1.0,1.0,0.9761904761904762,1.0,1.0,0
math_reasoning_11055,paraphrasing,0.8333333333333334,0.625,0.8888888888888888,1.0,1.0,7
math_reasoning_11055,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_11055,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_11055,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_11055,surface_noise,1.0,1.0,0.9444444444444444,1.0,1.0,0
math_reasoning_7546,paraphrasing,0.7333333333333333,0.44,0.8095238095238095,1.0,1.0,13
math_reasoning_7546,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_7546,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_7546,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_7546,surface_noise,1.0,0.9375,1.0,1.0,1.0,0
math_reasoning_5594,paraphrasing,0.7142857142857143,0.35714285714285715,0.8461538461538461,1.0,1.0,10
math_reasoning_5594,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5594,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5594,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5594,surface_noise,1.0,0.5384615384615384,0.9230769230769231,1.0,1.0,9
math_reasoning_3715,paraphrasing,0.6363636363636364,0.30434782608695654,0.7647058823529411,1.0,1.0,6
math_reasoning_3715,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3715,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3715,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3715,surface_noise,1.0,0.6470588235294118,0.9411764705882353,1.0,1.0,9
math_reasoning_6746,paraphrasing,0.8333333333333334,0.5263157894736842,0.8888888888888888,1.0,1.0,15
math_reasoning_6746,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_6746,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_6746,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_6746,surface_noise,1.0,1.0,0.9444444444444444,1.0,1.0,0
