item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,noise_corrected_drift,similarity_metric
factual_qa_2289,factual_qa,surface_noise_low,3,3,0.97514,0.95974,0.0154,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,surface_noise_medium,3,3,0.97514,0.980272,-0.005131,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,surface_noise_high,3,3,0.997309,0.998655,-0.001346,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,surface_noise_low,3,3,0.997309,0.995297,0.002012,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,surface_noise_medium,3,3,0.997309,0.998206,-0.000897,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,surface_noise_high,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,surface_noise_low,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,surface_noise_medium,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,surface_noise_high,3,3,0.93503,0.944723,-0.009693,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,surface_noise_low,3,3,0.93503,0.942981,-0.007951,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,surface_noise_medium,3,3,0.93503,0.949132,-0.014102,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,surface_noise_high,3,3,1.0,0.990307,0.009693,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,surface_noise_low,3,3,1.0,0.994223,0.005778,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,surface_noise_medium,3,3,1.0,0.994223,0.005778,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,surface_noise_high,3,3,0.794202,0.859632,-0.06543,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,surface_noise_low,3,3,0.794202,0.853242,-0.05904,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,surface_noise_medium,3,3,0.794202,0.879366,-0.085164,sentence-transformers/all-MiniLM-L6-v2
factual_qa_800,factual_qa,surface_noise_high,3,3,0.883945,0.839564,0.044381,sentence-transformers/all-MiniLM-L6-v2
factual_qa_800,factual_qa,surface_noise_low,3,3,0.883945,0.86833,0.015615,sentence-transformers/all-MiniLM-L6-v2
factual_qa_800,factual_qa,surface_noise_medium,3,3,0.883945,0.879241,0.004704,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8164,factual_qa,surface_noise_high,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8164,factual_qa,surface_noise_low,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8164,factual_qa,surface_noise_medium,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8650,factual_qa,surface_noise_high,3,3,1.0,0.976448,0.023552,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8650,factual_qa,surface_noise_low,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8650,factual_qa,surface_noise_medium,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10926,math_reasoning,surface_noise_high,3,3,0.947465,0.955009,-0.007544,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10926,math_reasoning,surface_noise_low,3,3,0.947465,0.961176,-0.013711,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10926,math_reasoning,surface_noise_medium,3,3,0.947465,0.956669,-0.009204,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,surface_noise_high,3,3,0.857862,0.89955,-0.041688,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,surface_noise_low,3,3,0.857862,0.806455,0.051407,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,surface_noise_medium,3,3,0.857862,0.795454,0.062408,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,surface_noise_high,3,3,0.886725,0.910672,-0.023947,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,surface_noise_low,3,3,0.886725,0.906221,-0.019497,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,surface_noise_medium,3,3,0.886725,0.907866,-0.021142,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,surface_noise_high,3,3,0.893165,0.901645,-0.00848,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,surface_noise_low,3,3,0.893165,0.895481,-0.002316,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,surface_noise_medium,3,3,0.893165,0.897735,-0.004571,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,surface_noise_high,3,3,0.820816,0.905796,-0.08498,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,surface_noise_low,3,3,0.820816,0.907313,-0.086498,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,surface_noise_medium,3,3,0.820816,0.852912,-0.032096,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,surface_noise_high,3,3,0.929779,0.932981,-0.003202,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,surface_noise_low,3,3,0.929779,0.946872,-0.017093,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,surface_noise_medium,3,3,0.929779,0.924761,0.005018,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,surface_noise_high,3,3,0.93653,0.945132,-0.008602,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,surface_noise_low,3,3,0.93653,0.932553,0.003977,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,surface_noise_medium,3,3,0.93653,0.93634,0.00019,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,surface_noise_high,3,3,0.903701,0.90565,-0.00195,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,surface_noise_low,3,3,0.903701,0.912199,-0.008498,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,surface_noise_medium,3,3,0.903701,0.918438,-0.014738,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,surface_noise_high,3,3,0.98003,0.959426,0.020604,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,surface_noise_low,3,3,0.98003,0.970095,0.009935,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,surface_noise_medium,3,3,0.98003,0.977463,0.002567,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,surface_noise_high,3,3,0.95771,0.962544,-0.004834,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,surface_noise_low,3,3,0.95771,0.968969,-0.011259,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,surface_noise_medium,3,3,0.95771,0.963623,-0.005913,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10208,open_ended_writing,surface_noise_high,3,3,0.950631,0.935755,0.014876,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10208,open_ended_writing,surface_noise_low,3,3,0.950631,0.936371,0.01426,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10208,open_ended_writing,surface_noise_medium,3,3,0.950631,0.917621,0.03301,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10774,open_ended_writing,surface_noise_high,3,3,0.761758,0.850517,-0.088759,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10774,open_ended_writing,surface_noise_low,3,3,0.761758,0.801465,-0.039707,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10774,open_ended_writing,surface_noise_medium,3,3,0.761758,0.880879,-0.119121,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_11297,open_ended_writing,surface_noise_high,3,3,0.859518,0.90066,-0.041143,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_11297,open_ended_writing,surface_noise_low,3,3,0.859518,0.854594,0.004924,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_11297,open_ended_writing,surface_noise_medium,3,3,0.859518,0.843818,0.015699,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16258,open_ended_writing,surface_noise_high,3,3,0.895608,0.904958,-0.00935,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16258,open_ended_writing,surface_noise_low,3,3,0.895608,0.906692,-0.011084,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16258,open_ended_writing,surface_noise_medium,3,3,0.895608,0.886624,0.008984,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_34294,open_ended_writing,surface_noise_high,3,3,0.96693,0.928607,0.038323,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_34294,open_ended_writing,surface_noise_low,3,3,0.96693,0.969788,-0.002857,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_34294,open_ended_writing,surface_noise_medium,3,3,0.96693,0.933654,0.033276,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35144,open_ended_writing,surface_noise_high,3,3,0.850101,0.841182,0.008919,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35144,open_ended_writing,surface_noise_low,3,3,0.850101,0.801743,0.048359,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35144,open_ended_writing,surface_noise_medium,3,3,0.850101,0.847173,0.002929,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35341,open_ended_writing,surface_noise_high,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35341,open_ended_writing,surface_noise_low,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35341,open_ended_writing,surface_noise_medium,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_36102,open_ended_writing,surface_noise_high,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_36102,open_ended_writing,surface_noise_low,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_36102,open_ended_writing,surface_noise_medium,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_45338,open_ended_writing,surface_noise_high,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_45338,open_ended_writing,surface_noise_low,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_45338,open_ended_writing,surface_noise_medium,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_50246,open_ended_writing,surface_noise_high,3,3,0.92813,0.69281,0.23532,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_50246,open_ended_writing,surface_noise_low,3,3,0.92813,0.912849,0.015281,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_50246,open_ended_writing,surface_noise_medium,3,3,0.92813,0.924962,0.003168,sentence-transformers/all-MiniLM-L6-v2
