item_id,before_status,after_status,before_had_rewrite_prefix,after_has_rewrite_prefix,original_context_chars,before_context_chars,after_context_chars,paraphrased_question,fixed_prompt
factual_qa_9760,question_only_no_marker,parsed_full_context_question,False,False,677,0,677,"Who is the recipient of the final bill submission by the Presiding Officer after it has been passed, before it becomes an Act of the Scottish Parliament?","Context: Royal assent: After the bill has been passed, the Presiding Officer submits it to the Monarch for royal assent and it becomes an Act of the Scottish Parliament. However he cannot do so until a 4-week period has elapsed, during which the Law Officers of the Scottish Government or UK Government can refer the bill to the Supreme Court of the United Kingdom for a ruling on whether it is within the powers of the Parliament. Acts of the Scottish Parliament do not begin with a conventional enacting formula. Instead they begin with a phrase that reads: ""The Bill for this Act of the Scottish Parliament was passed by the Parliament on [Date] and received royal assent on [Date]"".

Question: Who is the recipient of the final bill submission by the Presiding Officer after it has been passed, before it becomes an Act of the Scottish Parliament?"
factual_qa_1370,question_only_no_marker,parsed_full_context_question,True,False,582,0,582,What administrative change did the colonial authorities make in response to the Ballarat rebellion in 1854?,"Context: In 1854 at Ballarat there was an armed rebellion against the government of Victoria by miners protesting against mining taxes (the ""Eureka Stockade""). This was crushed by British troops, but the discontents prompted colonial authorities to reform the administration (particularly reducing the hated mining licence fees) and extend the franchise. Within a short time, the Imperial Parliament granted Victoria responsible government with the passage of the Colony of Victoria Act 1855. Some of the leaders of the Eureka rebellion went on to become members of the Victorian Parliament.

Question: What administrative change did the colonial authorities make in response to the Ballarat rebellion in 1854?"
factual_qa_204,question_only_no_marker,parsed_full_context_question,False,False,338,0,338,Which Latin monastery did the monks from Saint-Evroul establish in Italy under the patronage of Robert Guiscard after fleeing from Normandy?,"Context: At Saint Evroul, a tradition of singing had developed and the choir achieved fame in Normandy. Under the Norman abbot Robert de Grantmesnil, several monks of Saint-Evroul fled to southern Italy, where they were patronised by Robert Guiscard and established a Latin monastery at Sant'Eufemia. There they continued the tradition of singing.

Question: Which Latin monastery did the monks from Saint-Evroul establish in Italy under the patronage of Robert Guiscard after fleeing from Normandy?"
factual_qa_8080,question_only_no_marker,parsed_full_context_question,False,False,799,0,799,What bodily fluid's flushing action expels pathogens from the eyes?,"Context: Several barriers protect organisms from infection, including mechanical, chemical, and biological barriers. The waxy cuticle of many leaves, the exoskeleton of insects, the shells and membranes of externally deposited eggs, and skin are examples of mechanical barriers that are the first line of defense against infection. However, as organisms cannot be completely sealed from their environments, other systems act to protect body openings such as the lungs, intestines, and the genitourinary tract. In the lungs, coughing and sneezing mechanically eject pathogens and other irritants from the respiratory tract. The flushing action of tears and urine also mechanically expels pathogens, while mucus secreted by the respiratory and gastrointestinal tract serves to trap and entangle microorganisms.

Question: What bodily fluid's flushing action expels pathogens from the eyes?"
factual_qa_5298,question_only_no_marker,parsed_full_context_question,False,False,578,0,578,"What are the roles and responsibilities of pharmacists in delivering direct patient care services aimed at enhancing medication usage and fostering health, well-being, and disease prevention, particularly within the clinical pharmacy setting?","Context: Pharmacists provide direct patient care services that optimizes the use of medication and promotes health, wellness, and disease prevention. Clinical pharmacists care for patients in all health care settings, but the clinical pharmacy movement initially began inside hospitals and clinics. Clinical pharmacists often collaborate with physicians and other healthcare professionals to improve pharmaceutical care. Clinical pharmacists are now an integral part of the interdisciplinary approach to patient care. They often participate in patient care rounds drug product selection.

Question: What are the roles and responsibilities of pharmacists in delivering direct patient care services aimed at enhancing medication usage and fostering health, well-being, and disease prevention, particularly within the clinical pharmacy setting?"
factual_qa_10491,question_only_no_marker,parsed_full_context_question,False,False,709,0,709,When did the majority of France's colonies achieve independence?,"Context: In World War II, Charles de Gaulle and the Free French used the overseas colonies as bases from which they fought to liberate France. However after 1945 anti-colonial movements began to challenge the Empire. France fought and lost a bitter war in Vietnam in the 1950s. Whereas they won the war in Algeria, the French leader at the time, Charles de Gaulle, decided to grant Algeria independence anyway in 1962. Its settlers and many local supporters relocated to France. Nearly all of France's colonies gained independence by 1960, but France retained great financial and diplomatic influence. It has repeatedly sent troops to assist its former colonies in Africa in suppressing insurrections and coups d’état.

Question: When did the majority of France's colonies achieve independence?"
factual_qa_939,question_only_no_marker,parsed_full_context_question,False,False,206,0,206,To which college do the Bruins pertain?,"Context: College sports are also popular in southern California. The UCLA Bruins and the USC Trojans both field teams in NCAA Division I in the Pac-12 Conference, and there is a longtime rivalry between the schools.

Question: To which college do the Bruins pertain?"
factual_qa_1726,parsed_full_context_question_with_prefix,parsed_full_context_question,True,False,531,567,531,Which region in South Africa welcomed Huguenot settlers?,"Context: The bulk of Huguenot émigrés relocated to Protestant European nations such as England, Wales, Scotland, Denmark, Sweden, Switzerland, the Dutch Republic, the Electorate of Brandenburg and Electorate of the Palatinate in the Holy Roman Empire, the Duchy of Prussia, the Channel Islands, and Ireland. They also spread beyond Europe to the Dutch Cape Colony in South Africa, the Dutch East Indies, the Caribbean, and several of the English colonies of North America, and Quebec, where they were accepted and allowed to worship freely.

Question: Which region in South Africa welcomed Huguenot settlers?"
factual_qa_11034,question_only_no_marker,parsed_full_context_question,False,False,536,0,536,Which castle is currently home to the Centre for Contemporary Art?,"Context: The 17th century Royal Ujazdów Castle currently houses Centre for Contemporary Art, with some permanent and temporary exhibitions, concerts, shows and creative workshops. The Centre currently realizes about 500 projects a year. Zachęta National Gallery of Art, the oldest exhibition site in Warsaw, with a tradition stretching back to the mid-19th century organises exhibitions of modern art by Polish and international artists and promotes art in many other ways. Since 2011 Warsaw Gallery Weekend is held on last weekend of September.

Question: Which castle is currently home to the Centre for Contemporary Art?"
factual_qa_10757,question_only_no_marker,parsed_full_context_question,False,False,906,0,906,Which landform features groups of clay pits?,"Context: The plain moraine plateau has only a few natural and artificial ponds and also groups of clay pits. The pattern of the Vistula terraces is asymmetrical. The left side consist mainly of two levels: the highest one contains former flooded terraces and the lowest one the flood plain terrace. The contemporary flooded terrace still has visible valleys and ground depressions with water systems coming from the Vistula old – riverbed. They consist of still quite natural streams and lakes as well as the pattern of drainage ditches. The right side of Warsaw has a different pattern of geomorphological forms. There are several levels of the plain Vistula terraces (flooded as well as former flooded once) and only small part and not so visible moraine escarpment. Aeolian sand with a number of dunes parted by peat swamps or small ponds cover the highest terrace. These are mainly forested areas (pine forest).

Question: Which landform features groups of clay pits?"
factual_qa_7603,question_only_no_marker,parsed_full_context_question,False,False,954,0,954,At what point in time did Möngke Khan assume the position of Great Khan?,"Context: Genghis Khan united the Mongol and Turkic tribes of the steppes and became Great Khan in 1206. He and his successors expanded the Mongol empire across Asia. Under the reign of Genghis' third son, Ögedei Khan, the Mongols destroyed the weakened Jin dynasty in 1234, conquering most of northern China. Ögedei offered his nephew Kublai a position in Xingzhou, Hebei. Kublai was unable to read Chinese but had several Han Chinese teachers attached to him since his early years by his mother Sorghaghtani. He sought the counsel of Chinese Buddhist and Confucian advisers. Möngke Khan succeeded Ögedei's son, Güyük, as Great Khan in 1251. He granted his brother Kublai control over Mongol held territories in China. Kublai built schools for Confucian scholars, issued paper money, revived Chinese rituals, and endorsed policies that stimulated agricultural and commercial growth. He adopted as his capital city Kaiping in Inner Mongolia, later renamed Shangdu.

Question: At what point in time did Möngke Khan assume the position of Great Khan?"
factual_qa_8201,question_only_no_marker,parsed_full_context_question,False,False,986,0,986,What receptor variant do gamma delta T cells possess compared to CD4+ and CD8+ T cells?,"Context: Gamma delta T cells (γδ T cells) possess an alternative T cell receptor (TCR) as opposed to CD4+ and CD8+ (αβ) T cells and share the characteristics of helper T cells, cytotoxic T cells and NK cells. The conditions that produce responses from γδ T cells are not fully understood. Like other 'unconventional' T cell subsets bearing invariant TCRs, such as CD1d-restricted Natural Killer T cells, γδ T cells straddle the border between innate and adaptive immunity. On one hand, γδ T cells are a component of adaptive immunity as they rearrange TCR genes to produce receptor diversity and can also develop a memory phenotype. On the other hand, the various subsets are also part of the innate immune system, as restricted TCR or NK receptors may be used as pattern recognition receptors. For example, large numbers of human Vγ9/Vδ2 T cells respond within hours to common molecules produced by microbes, and highly restricted Vδ1+ T cells in epithelia respond to stressed epithelial cells.

Question: What receptor variant do gamma delta T cells possess compared to CD4+ and CD8+ T cells?"
factual_qa_3011,question_only_no_marker,parsed_full_context_question,False,False,1245,0,1245,When did Denmark become a member of the European Union?,"Context: The principal Treaties that form the European Union began with common rules for coal and steel, and then atomic energy, but more complete and formal institutions were established through the Treaty of Rome 1957 and the Maastricht Treaty 1992 (now: TFEU). Minor amendments were made during the 1960s and 1970s. Major amending treaties were signed to complete the development of a single, internal market in the Single European Act 1986, to further the development of a more social Europe in the Treaty of Amsterdam 1997, and to make minor amendments to the relative power of member states in the EU institutions in the Treaty of Nice 2001 and the Treaty of Lisbon 2007. Since its establishment, more member states have joined through a series of accession treaties, from the UK, Ireland, Denmark and Norway in 1972 (though Norway did not end up joining), Greece in 1979, Spain and Portugal 1985, Austria, Finland, Norway and Sweden in 1994 (though again Norway failed to join, because of lack of support in the referendum), the Czech Republic, Cyprus, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia and Slovenia in 2004, Romania and Bulgaria in 2007 and Croatia in 2013. Greenland signed a Treaty in 1985 giving it a special status.

Question: When did Denmark become a member of the European Union?"
factual_qa_11149,parsed_full_context_question_with_prefix,parsed_full_context_question,True,False,539,616,539,What year was Montreal captured?,"Context: In Europe, the North American theater of the Seven Years' War usually is not given a separate name. The entire international conflict is known as the Seven Years' War. ""Seven Years"" refers to events in Europe, from the official declaration of war in 1756 to the signing of the peace treaty in 1763. These dates do not correspond with the fighting on mainland North America, where the fighting between the two colonial powers was largely concluded in six years, from the Battle of Jumonville Glen in 1754 to the capture of Montreal in 1760.

Question: What year was Montreal captured?"
factual_qa_10535,question_only_no_marker,parsed_full_context_question,False,False,881,0,881,Who advocated for limited self-determination rights for national minorities within the new Russian territory by 1921?,"Context: Bolshevik leaders had effectively reestablished a polity with roughly the same extent as that empire by 1921, however with an internationalist ideology: Lenin in particular asserted the right to limited self-determination for national minorities within the new territory. Beginning in 1923, the policy of ""Indigenization"" [korenizatsiia] was intended to support non-Russians develop their national cultures within a socialist framework. Never formally revoked, it stopped being implemented after 1932. After World War II, the Soviet Union installed socialist regimes modeled on those it had installed in 1919–20 in the old Tsarist Empire in areas its forces occupied in Eastern Europe. The Soviet Union and the People’s Republic of China supported post–World War II communist movements in foreign nations and colonies to advance their own interests, but were not always successful.

Question: Who advocated for limited self-determination rights for national minorities within the new Russian territory by 1921?"
factual_qa_1470,parsed_full_context_question_with_prefix,parsed_full_context_question,True,False,1095,838,1095,Who did the Huguenots in South Carolina acquire land from?,"Context: In the early years, many Huguenots also settled in the area of present-day Charleston, South Carolina. In 1685, Rev. Elie Prioleau from the town of Pons in France, was among the first to settle there. He became pastor of the first Huguenot church in North America in that city. After the Revocation of the Edict of Nantes in 1685, several Huguenot families of Norman and Carolingian nobility and descent, including Edmund Bohun of Suffolk England from the Humphrey de Bohun line of French royalty descended from Charlemagne, Jean Postell of Dieppe France, Alexander Pepin, Antoine Poitevin of Orsement France, and Jacques de Bordeaux of Grenoble, immigrated to the Charleston Orange district. They were very successful at marriage and property speculation. After petitioning the British Crown in 1697 for the right to own land in the Baronies, they prospered as slave owners on the Cooper, Ashepoo, Ashley and Santee River plantations they purchased from the British Landgrave Edmund Bellinger. Some of their descendants moved into the Deep South and Texas, where they developed new plantations.

Question: Who did the Huguenots in South Carolina acquire land from?"
factual_qa_1173,question_only_no_marker,parsed_full_context_question,False,False,565,0,565,How many miners lost their lives during the typhoid outbreak of 1854 in Buckland Valley?,"Context: Immigrants arrived from all over the world to search for gold, especially from Ireland and China. Many Chinese miners worked in Victoria, and their legacy is particularly strong in Bendigo and its environs. Although there was some racism directed at them, there was not the level of anti-Chinese violence that was seen at the Lambing Flat riots in New South Wales. However, there was a riot at Buckland Valley near Bright in 1857. Conditions on the gold fields were cramped and unsanitary; an outbreak of typhoid at Buckland Valley in 1854 killed over 1,000 miners.

Question: How many miners lost their lives during the typhoid outbreak of 1854 in Buckland Valley?"
factual_qa_5441,question_only_no_marker,parsed_full_context_question,False,False,773,0,773,Which countries use a red stylized letter A as a symbol for pharmacy?,"Context: The two symbols most commonly associated with pharmacy in English-speaking countries are the mortar and pestle and the ℞ (recipere) character, which is often written as ""Rx"" in typed text. The show globe was also used until the early 20th century. Pharmacy organizations often use other symbols, such as the Bowl of Hygieia which is often used in the Netherlands, conical measures, and caduceuses in their logos. Other symbols are common in different countries: the green Greek cross in France, Argentina, the United Kingdom, Belgium, Ireland, Italy, Spain, and India, the increasingly rare Gaper in the Netherlands, and a red stylized letter A in Germany and Austria (from Apotheke, the German word for pharmacy, from the same Greek root as the English word 'apothecary').

Question: Which countries use a red stylized letter A as a symbol for pharmacy?"
factual_qa_7612,parsed_full_context_question_with_prefix,parsed_full_context_question,True,False,692,712,692,Which Han Chinese leader switched allegiance to the Mongols?,"Context: Many Han Chinese and Khitan defected to the Mongols to fight against the Jin. Two Han Chinese leaders, Shi Tianze, Liu Heima (劉黑馬, Liu Ni), and the Khitan Xiao Zhala (蕭札剌) defected and commanded the 3 Tumens in the Mongol army. Liu Heima and Shi Tianze served Ogödei Khan. Liu Heima and Shi Tianxiang led armies against Western Xia for the Mongols. There were 4 Han Tumens and 3 Khitan Tumens, with each Tumen consisting of 10,000 troops. The three Khitan Generals Shimobeidier (石抹孛迭兒), Tabuyir (塔不已兒) and Xiaozhacizhizizhongxi (蕭札刺之子重喜) commanded the three Khitan Tumens and the four Han Generals Zhang Rou, Yan Shi, Shi Tianze, and Liu Heima commanded the four Han tumens under Ogödei Khan.

Question: Which Han Chinese leader switched allegiance to the Mongols?"
factual_qa_10966,parsed_full_context_question_with_prefix,parsed_full_context_question,True,False,603,539,603,"What achieved significant success, particularly in the reconstruction of Warsaw?","Context: Like many cities in Central and Eastern Europe, infrastructure in Warsaw suffered considerably during its time as an Eastern Bloc economy – though it is worth mentioning that the initial Three-Year Plan to rebuild Poland (especially Warsaw) was a major success, but what followed was very much the opposite. However, over the past decade Warsaw has seen many improvements due to solid economic growth, an increase in foreign investment as well as funding from the European Union. In particular, the city's metro, roads, sidewalks, health care facilities and sanitation facilities have improved markedly.

Question: What achieved significant success, particularly in the reconstruction of Warsaw?"
factual_qa_3208,question_only_no_marker,parsed_full_context_question,False,False,874,0,874,What document has gained significance in European Union law after the 2007 Lisbon Treaty?,"Context: The 2007 Lisbon Treaty explicitly recognised fundamental rights by providing in Article 6(1) that ""The Union recognises the rights, freedoms and principles set out in the Charter of Fundamental Rights of the European Union of 7 December 2000, as adopted at Strasbourg on 12 December 2007, which shall have the same legal value as the Treaties."" Therefore, the Charter of Fundamental Rights of the European Union has become an integral part of European Union law, codifying the fundamental rights which were previously considered general principles of European Union law. In effect, after the Lisbon Treaty, the Charter and the Convention now co-exist under European Union law, though the former is enforced by the European Court of Justice in relation to European Union measures, and the latter by the European Court of Human Rights in relation to measures by member states.

Question: What document has gained significance in European Union law after the 2007 Lisbon Treaty?"
factual_qa_3920,question_only_no_marker,parsed_full_context_question,False,False,1247,0,1247,"What is another name for chum salmon, Oncorhynchus keta?","Context: Ctenophores used to be regarded as ""dead ends"" in marine food chains because it was thought their low ratio of organic matter to salt and water made them a poor diet for other animals. It is also often difficult to identify the remains of ctenophores in the guts of possible predators, although the combs sometimes remain intact long enough to provide a clue. Detailed investigation of chum salmon, Oncorhynchus keta, showed that these fish digest ctenophores 20 times as fast as an equal weight of shrimps, and that ctenophores can provide a good diet if there are enough of them around. Beroids prey mainly on other ctenophores. Some jellyfish and turtles eat large quantities of ctenophores, and jellyfish may temporarily wipe out ctenophore populations. Since ctenophores and jellyfish often have large seasonal variations in population, most fish that prey on them are generalists, and may have a greater effect on populations than the specialist jelly-eaters. This is underlined by an observation of herbivorous fishes deliberately feeding on gelatinous zooplankton during blooms in the Red Sea. The larvae of some sea anemones are parasites on ctenophores, as are the larvae of some flatworms that parasitize fish when they reach adulthood.

Question: What is another name for chum salmon, Oncorhynchus keta?"
factual_qa_3503,question_only_no_marker,parsed_full_context_question,False,False,704,0,704,"What type of soil, known as terra preta (black earth), is widely acknowledged as a result of indigenous soil management in the Amazon forest?","Context: Terra preta (black earth), which is distributed over large areas in the Amazon forest, is now widely accepted as a product of indigenous soil management. The development of this fertile soil allowed agriculture and silviculture in the previously hostile environment; meaning that large portions of the Amazon rainforest are probably the result of centuries of human management, rather than naturally occurring as has previously been supposed. In the region of the Xingu tribe, remains of some of these large settlements in the middle of the Amazon forest were found in 2003 by Michael Heckenberger and colleagues of the University of Florida. Among those were evidence of roads, bridges and large plazas.

Question: What type of soil, known as terra preta (black earth), is widely acknowledged as a result of indigenous soil management in the Amazon forest?"
factual_qa_3396,question_only_no_marker,parsed_full_context_question,False,False,709,0,709,What major event possibly led to the expansion of the Amazon rainforest following the extinction of the dinosaurs and the subsequent climate changes?,"Context: Following the Cretaceous–Paleogene extinction event, the extinction of the dinosaurs and the wetter climate may have allowed the tropical rainforest to spread out across the continent. From 66–34 Mya, the rainforest extended as far south as 45°. Climate fluctuations during the last 34 million years have allowed savanna regions to expand into the tropics. During the Oligocene, for example, the rainforest spanned a relatively narrow band. It expanded again during the Middle Miocene, then retracted to a mostly inland formation at the last glacial maximum. However, the rainforest still managed to thrive during these glacial periods, allowing for the survival and evolution of a broad diversity of species.

Question: What major event possibly led to the expansion of the Amazon rainforest following the extinction of the dinosaurs and the subsequent climate changes?"
factual_qa_10760,question_only_no_marker,parsed_full_context_question,False,False,906,0,906,Where is Aeolian sand with a number of dunes located in the study area?,"Context: The plain moraine plateau has only a few natural and artificial ponds and also groups of clay pits. The pattern of the Vistula terraces is asymmetrical. The left side consist mainly of two levels: the highest one contains former flooded terraces and the lowest one the flood plain terrace. The contemporary flooded terrace still has visible valleys and ground depressions with water systems coming from the Vistula old – riverbed. They consist of still quite natural streams and lakes as well as the pattern of drainage ditches. The right side of Warsaw has a different pattern of geomorphological forms. There are several levels of the plain Vistula terraces (flooded as well as former flooded once) and only small part and not so visible moraine escarpment. Aeolian sand with a number of dunes parted by peat swamps or small ponds cover the highest terrace. These are mainly forested areas (pine forest).

Question: Where is Aeolian sand with a number of dunes located in the study area?"
factual_qa_10479,question_only_no_marker,parsed_full_context_question,False,False,634,0,634,What rare offer did France provide according to imperial standards?,"Context: It became a moral justification to lift the world up to French standards by bringing Christianity and French culture. In 1884 the leading exponent of colonialism, Jules Ferry declared France had a civilising mission: ""The higher races have a right over the lower races, they have a duty to civilize the inferior"". Full citizenship rights – ‘’assimilation’’ – were offered, although in reality assimilation was always on the distant horizon. Contrasting from Britain, France sent small numbers of settlers to its colonies, with the only notable exception of Algeria, where French settlers nevertheless always remained a small minority.

Question: What rare offer did France provide according to imperial standards?"
factual_qa_6848,question_only_no_marker,parsed_full_context_question,False,False,1064,0,1064,What effect did the mass high school education movement from 1910–1940 have on the wages of skilled workers and the inequality between skilled and unskilled workers during that period?,"Context: During the mass high school education movement from 1910–1940, there was an increase in skilled workers, which led to a decrease in the price of skilled labor. High school education during the period was designed to equip students with necessary skill sets to be able to perform at work. In fact, it differs from the present high school education, which is regarded as a stepping-stone to acquire college and advanced degrees. This decrease in wages caused a period of compression and decreased inequality between skilled and unskilled workers. Education is very important for the growth of the economy, however educational inequality in gender also influence towards the economy. Lagerlof and Galor stated that gender inequality in education can result to low economic growth, and continued gender inequality in education, thus creating a poverty trap. It is suggested that a large gap in male and female education may indicate backwardness and so may be associated with lower economic growth, which can explain why there is economic inequality between countries.

Question: What effect did the mass high school education movement from 1910–1940 have on the wages of skilled workers and the inequality between skilled and unskilled workers during that period?"
factual_qa_9646,question_only_no_marker,parsed_full_context_question,False,False,878,0,878,What is the purpose of the division bell ringing for MSPs who are not present in the chamber during Decision Time in the Parliamentary process?,"Context: Each sitting day, normally at 5 pm, MSPs decide on all the motions and amendments that have been moved that day. This ""Decision Time"" is heralded by the sounding of the division bell, which is heard throughout the Parliamentary campus and alerts MSPs who are not in the chamber to return and vote. At Decision Time, the Presiding Officer puts questions on the motions and amendments by reading out the name of the motion or amendment as well as the proposer and asking ""Are we all agreed?"", to which the chamber first votes orally. If there is audible dissent, the Presiding Officer announces ""There will be a division"" and members vote by means of electronic consoles on their desks. Each MSP has a unique access card with a microchip which, when inserted into the console, identifies them and allows them to vote. As a result, the outcome of each division is known in seconds.

Question: What is the purpose of the division bell ringing for MSPs who are not present in the chamber during Decision Time in the Parliamentary process?"
factual_qa_8780,question_only_no_marker,parsed_full_context_question,False,False,660,0,660,How extensively did Fermat validate the Fermat numbers?,"Context: After the Greeks, little happened with the study of prime numbers until the 17th century. In 1640 Pierre de Fermat stated (without proof) Fermat's little theorem (later proved by Leibniz and Euler). Fermat also conjectured that all numbers of the form 22n + 1 are prime (they are called Fermat numbers) and he verified this up to n = 4 (or 216 + 1). However, the very next Fermat number 232 + 1 is composite (one of its prime factors is 641), as Euler discovered later, and in fact no further Fermat numbers are known to be prime. The French monk Marin Mersenne looked at primes of the form 2p − 1, with p a prime. They are called Mersenne primes in his honor.

Question: How extensively did Fermat validate the Fermat numbers?"
