item_id,task_type,dataset_name,n_outputs,n_pairs,mean_within_prompt_similarity,sampling_noise_drift,similarity_metric
factual_qa_11075,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_11262,factual_qa,rajpurkar/squad_v2,5,10,0.962216,0.037784,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_11313,factual_qa,rajpurkar/squad_v2,5,10,0.946767,0.053233,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_11559,factual_qa,rajpurkar/squad_v2,5,10,0.921563,0.078437,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_11773,factual_qa,rajpurkar/squad_v2,5,10,0.869515,0.130485,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_1292,factual_qa,rajpurkar/squad_v2,5,10,0.968597,0.031403,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_1302,factual_qa,rajpurkar/squad_v2,5,10,0.978414,0.021586,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_1601,factual_qa,rajpurkar/squad_v2,5,10,0.981996,0.018004,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_2022,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_2289,factual_qa,rajpurkar/squad_v2,5,10,0.914268,0.085732,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_2682,factual_qa,rajpurkar/squad_v2,5,10,0.910292,0.089708,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_3095,factual_qa,rajpurkar/squad_v2,5,10,0.908526,0.091474,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_3135,factual_qa,rajpurkar/squad_v2,5,10,0.70162,0.29838,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_3339,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_3373,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_3740,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_3976,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_4029,factual_qa,rajpurkar/squad_v2,5,10,0.983158,0.016842,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_4277,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_5271,factual_qa,rajpurkar/squad_v2,5,10,0.827809,0.172191,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_5359,factual_qa,rajpurkar/squad_v2,5,10,0.761523,0.238477,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_5525,factual_qa,rajpurkar/squad_v2,5,10,0.876803,0.123197,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_6353,factual_qa,rajpurkar/squad_v2,5,10,0.832568,0.167432,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_6442,factual_qa,rajpurkar/squad_v2,5,10,0.894214,0.105786,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_6460,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_6578,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_6819,factual_qa,rajpurkar/squad_v2,5,10,0.80733,0.19267,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_684,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_7048,factual_qa,rajpurkar/squad_v2,5,10,0.861023,0.138977,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_7187,factual_qa,rajpurkar/squad_v2,5,10,0.827322,0.172678,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_720,factual_qa,rajpurkar/squad_v2,5,10,0.909841,0.090159,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_7525,factual_qa,rajpurkar/squad_v2,5,10,0.826672,0.173328,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_7699,factual_qa,rajpurkar/squad_v2,5,10,0.831017,0.168983,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_7854,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_7989,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_800,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_8049,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_8077,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_8164,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_8302,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_8326,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_8650,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_8989,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_919,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_9228,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_10051,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.900382,0.099618,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_10521,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.897133,0.102867,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_10586,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.788091,0.211909,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_10682,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.961577,0.038423,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_10926,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.811963,0.188037,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_11055,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.931926,0.068074,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_1121,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.922964,0.077036,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_11297,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.991818,0.008182,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_11759,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.958748,0.041252,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_1600,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.870346,0.129654,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_1650,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.894013,0.105987,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_190,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.929761,0.070239,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_2166,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.935361,0.064639,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_2652,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.888243,0.111757,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_2817,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.921877,0.078123,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_2832,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.930366,0.069634,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_2873,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.787401,0.212599,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_2891,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.880044,0.119956,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_3251,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.965334,0.034666,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_3336,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.905057,0.094943,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_3374,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.849288,0.150712,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_338,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.957329,0.042671,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_3402,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.905026,0.094974,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_3715,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.990921,0.009079,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_3886,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.882282,0.117718,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_4506,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.874053,0.125947,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_4531,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.928177,0.071823,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_467,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.983509,0.016491,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_4807,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.881006,0.118994,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_4880,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.897098,0.102902,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_4896,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.907984,0.092016,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_4965,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.961998,0.038002,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_5038,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.900794,0.099206,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_5201,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.949836,0.050164,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_5281,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.921344,0.078656,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_5408,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.941999,0.058001,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_5497,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.982839,0.017161,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_5594,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.890462,0.109538,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_5912,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.930916,0.069084,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_6164,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.913199,0.086801,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_6746,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.886927,0.113073,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_6807,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.822082,0.177918,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_7372,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.905544,0.094456,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_7390,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.939902,0.060098,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_7546,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.957006,0.042994,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_8004,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.953759,0.046241,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_9083,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.948399,0.051601,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_9403,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.866227,0.133773,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_9599,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.879034,0.120966,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning_9765,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.91909,0.08091,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_10208,open_ended_writing,tatsu-lab/alpaca,5,10,0.837581,0.162419,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_1043,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_10774,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_1105,open_ended_writing,tatsu-lab/alpaca,5,10,0.707198,0.292802,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_11297,open_ended_writing,tatsu-lab/alpaca,5,10,0.719439,0.280561,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_12741,open_ended_writing,tatsu-lab/alpaca,5,10,0.834435,0.165565,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_1279,open_ended_writing,tatsu-lab/alpaca,5,10,0.937049,0.062951,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_13047,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_14306,open_ended_writing,tatsu-lab/alpaca,5,10,0.939075,0.060925,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_16258,open_ended_writing,tatsu-lab/alpaca,5,10,0.764903,0.235097,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_16598,open_ended_writing,tatsu-lab/alpaca,5,10,0.940479,0.059521,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_17839,open_ended_writing,tatsu-lab/alpaca,5,10,0.575153,0.424847,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_20111,open_ended_writing,tatsu-lab/alpaca,5,10,0.785993,0.214007,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_20944,open_ended_writing,tatsu-lab/alpaca,5,10,0.633083,0.366917,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_21063,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_2378,open_ended_writing,tatsu-lab/alpaca,5,10,0.742612,0.257388,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_24950,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_25984,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_26882,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_27838,open_ended_writing,tatsu-lab/alpaca,5,10,0.808035,0.191965,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_28407,open_ended_writing,tatsu-lab/alpaca,5,10,0.888806,0.111194,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_28710,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_32192,open_ended_writing,tatsu-lab/alpaca,5,10,0.902549,0.097451,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_33075,open_ended_writing,tatsu-lab/alpaca,5,10,0.776519,0.223481,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_33898,open_ended_writing,tatsu-lab/alpaca,5,10,0.746679,0.253321,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_34294,open_ended_writing,tatsu-lab/alpaca,5,10,0.987891,0.012109,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_35012,open_ended_writing,tatsu-lab/alpaca,5,10,0.888011,0.111989,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_35144,open_ended_writing,tatsu-lab/alpaca,5,10,0.631204,0.368796,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_35341,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_35625,open_ended_writing,tatsu-lab/alpaca,5,10,0.821316,0.178684,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_35890,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_36102,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_41294,open_ended_writing,tatsu-lab/alpaca,5,10,0.690991,0.309009,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_42563,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_4286,open_ended_writing,tatsu-lab/alpaca,5,10,0.870339,0.129661,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_42931,open_ended_writing,tatsu-lab/alpaca,5,10,0.983997,0.016003,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_43335,open_ended_writing,tatsu-lab/alpaca,5,10,0.907291,0.092709,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_44324,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_45032,open_ended_writing,tatsu-lab/alpaca,5,10,0.772017,0.227983,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_45338,open_ended_writing,tatsu-lab/alpaca,5,10,0.933043,0.066957,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_47449,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_49476,open_ended_writing,tatsu-lab/alpaca,5,10,0.784329,0.215671,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_501,open_ended_writing,tatsu-lab/alpaca,5,10,0.877431,0.122569,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_50246,open_ended_writing,tatsu-lab/alpaca,5,10,0.782027,0.217973,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_6480,open_ended_writing,tatsu-lab/alpaca,5,10,0.738706,0.261294,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing_6859,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
